Date,Time,Steps
2025.11.12 21:32:00,21:32:00,34
2025.11.12 21:33:00,21:33:00,7
2025.11.12 21:34:00,21:34:00,6
2025.11.12 21:36:00,21:36:00,31
2025.11.12 21:37:00,21:37:00,21
2025.11.12 22:10:00,22:10:00,7
2025.11.12 22:51:00,22:51:00,43
2025.11.12 22:59:00,22:59:00,24
2025.11.12 23:01:00,23:01:00,36
2025.11.12 23:05:00,23:05:00,14
2025.11.12 23:24:00,23:24:00,47
2025.11.12 23:25:00,23:25:00,26
2025.11.12 23:32:00,23:32:00,12
2025.11.13 06:16:00,06:16:00,22
2025.11.13 07:40:00,07:40:00,45
2025.11.13 07:41:00,07:41:00,1
2025.11.13 07:47:00,07:47:00,35
2025.11.13 09:50:00,09:50:00,40
2025.11.13 09:51:00,09:51:00,16
2025.11.13 10:01:00,10:01:00,17
2025.11.13 10:02:00,10:02:00,94
2025.11.13 10:03:00,10:03:00,2
2025.11.13 10:19:00,10:19:00,19
2025.11.13 10:20:00,10:20:00,12
2025.11.13 10:23:00,10:23:00,29
2025.11.13 10:24:00,10:24:00,14
2025.11.13 10:25:00,10:25:00,11
2025.11.13 11:29:00,11:29:00,11
2025.11.13 11:41:00,11:41:00,17
2025.11.13 11:42:00,11:42:00,40
2025.11.13 11:47:00,11:47:00,10
2025.11.13 11:48:00,11:48:00,7
2025.11.13 11:49:00,11:49:00,40
2025.11.13 11:50:00,11:50:00,28
2025.11.13 11:59:00,11:59:00,11
2025.11.13 12:00:00,12:00:00,80
2025.11.13 12:01:00,12:01:00,38
2025.11.13 12:02:00,12:02:00,51
2025.11.13 12:17:00,12:17:00,14
2025.11.13 12:18:00,12:18:00,31
2025.11.13 12:19:00,12:19:00,39
2025.11.13 12:20:00,12:20:00,22
2025.11.13 12:21:00,12:21:00,20
2025.11.13 12:22:00,12:22:00,22
2025.11.13 12:23:00,12:23:00,14
2025.11.13 12:24:00,12:24:00,8
2025.11.13 12:25:00,12:25:00,35
2025.11.13 12:37:00,12:37:00,25
2025.11.13 13:10:00,13:10:00,31
2025.11.13 13:38:00,13:38:00,38
2025.11.13 13:47:00,13:47:00,20
2025.11.13 13:48:00,13:48:00,8
2025.11.13 14:10:00,14:10:00,6
2025.11.13 14:16:00,14:16:00,17
2025.11.13 15:09:00,15:09:00,34
2025.11.13 15:10:00,15:10:00,36
2025.11.13 15:46:00,15:46:00,19
2025.11.13 15:47:00,15:47:00,11
2025.11.13 15:55:00,15:55:00,12
2025.11.13 16:00:00,16:00:00,13
2025.11.13 16:01:00,16:01:00,10
2025.11.13 16:07:00,16:07:00,21
2025.11.13 16:12:00,16:12:00,18
2025.11.13 16:26:00,16:26:00,14
2025.11.13 16:27:00,16:27:00,20
2025.11.13 16:29:00,16:29:00,54
2025.11.13 16:30:00,16:30:00,17
2025.11.13 16:31:00,16:31:00,26
2025.11.13 16:32:00,16:32:00,62
2025.11.13 17:27:00,17:27:00,51
2025.11.13 17:28:00,17:28:00,75
2025.11.13 17:29:00,17:29:00,63
2025.11.13 17:30:00,17:30:00,47
2025.11.13 17:31:00,17:31:00,55
2025.11.13 17:54:00,17:54:00,10
2025.11.13 17:58:00,17:58:00,10
2025.11.13 18:21:00,18:21:00,9
2025.11.13 18:22:00,18:22:00,64
2025.11.13 18:23:00,18:23:00,17
2025.11.13 18:32:00,18:32:00,9
2025.11.13 18:41:00,18:41:00,28
2025.11.13 18:53:00,18:53:00,44
2025.11.13 18:54:00,18:54:00,17
2025.11.13 18:55:00,18:55:00,49
2025.11.13 18:56:00,18:56:00,45
2025.11.13 18:57:00,18:57:00,53
2025.11.13 19:14:00,19:14:00,31
2025.11.13 19:16:00,19:16:00,16
2025.11.13 19:17:00,19:17:00,34
2025.11.13 19:18:00,19:18:00,26
2025.11.13 19:19:00,19:19:00,13
2025.11.13 19:20:00,19:20:00,57
2025.11.13 19:22:00,19:22:00,27
2025.11.13 19:24:00,19:24:00,16
2025.11.13 19:26:00,19:26:00,12
2025.11.13 20:29:00,20:29:00,41
2025.11.13 20:37:00,20:37:00,9
2025.11.13 21:27:00,21:27:00,33
2025.11.13 21:28:00,21:28:00,3
2025.11.13 22:13:00,22:13:00,21
2025.11.13 23:31:00,23:31:00,18
2025.11.13 23:32:00,23:32:00,59
2025.11.13 23:33:00,23:33:00,33
2025.11.14 03:01:00,03:01:00,48
2025.11.14 04:05:00,04:05:00,23
2025.11.14 06:44:00,06:44:00,22
2025.11.14 06:45:00,06:45:00,14
2025.11.14 09:00:00,09:00:00,10
2025.11.14 09:07:00,09:07:00,22
2025.11.14 09:08:00,09:08:00,2
2025.11.14 09:31:00,09:31:00,12
2025.11.14 09:53:00,09:53:00,14
2025.11.14 09:54:00,09:54:00,18
2025.11.14 10:05:00,10:05:00,50
2025.11.14 10:06:00,10:06:00,18
2025.11.14 10:07:00,10:07:00,25
2025.11.14 10:08:00,10:08:00,59
2025.11.14 10:09:00,10:09:00,16
2025.11.14 10:13:00,10:13:00,10
2025.11.14 10:14:00,10:14:00,36
2025.11.14 10:15:00,10:15:00,17
2025.11.14 11:18:00,11:18:00,46
2025.11.14 11:20:00,11:20:00,12
2025.11.14 11:22:00,11:22:00,9
2025.11.14 11:27:00,11:27:00,24
2025.11.14 11:32:00,11:32:00,11
2025.11.14 11:34:00,11:34:00,10
2025.11.14 11:40:00,11:40:00,12
2025.11.14 11:47:00,11:47:00,19
2025.11.14 11:48:00,11:48:00,10
2025.11.14 11:52:00,11:52:00,13
2025.11.14 11:58:00,11:58:00,67
2025.11.14 11:59:00,11:59:00,3
2025.11.14 12:12:00,12:12:00,15
2025.11.14 12:13:00,12:13:00,83
2025.11.14 12:14:00,12:14:00,99
2025.11.14 12:15:00,12:15:00,98
2025.11.14 12:16:00,12:16:00,95
2025.11.14 12:17:00,12:17:00,98
2025.11.14 12:18:00,12:18:00,46
2025.11.14 12:38:00,12:38:00,18
2025.11.14 12:44:00,12:44:00,25
2025.11.14 13:11:00,13:11:00,31
2025.11.14 13:12:00,13:12:00,94
2025.11.14 13:13:00,13:13:00,96
2025.11.14 13:14:00,13:14:00,93
2025.11.14 13:15:00,13:15:00,90
2025.11.14 13:16:00,13:16:00,63
2025.11.14 13:17:00,13:17:00,33
2025.11.14 13:18:00,13:18:00,65
2025.11.14 13:19:00,13:19:00,13
2025.11.14 14:20:00,14:20:00,11
2025.11.14 14:21:00,14:21:00,20
2025.11.14 14:22:00,14:22:00,14
2025.11.14 14:27:00,14:27:00,45
2025.11.14 14:28:00,14:28:00,96
2025.11.14 14:29:00,14:29:00,96
2025.11.14 14:30:00,14:30:00,88
2025.11.14 14:31:00,14:31:00,58
2025.11.14 14:32:00,14:32:00,39
2025.11.14 14:33:00,14:33:00,29
2025.11.14 14:52:00,14:52:00,14
